Year,Fmin,Fmean,Fmax,TIME,HOUR,Manual.ID,Main.Habitat
2023,39028.293,40280.953,44675.906,26:11.8,3,scot,Wet Heathland
2023,39550.16,41825.543,49242.215,25:30.1,3,scot,Wet Heathland
2023,39737.441,41995.047,52371.238,25:32.6,3,scot,Wet Heathland
2023,39349.758,41087.953,48406.82,25:35.3,3,scot,Wet Heathland
2023,39500.207,41257.547,47101.715,3:27:53,3,scot,Wet Heathland
2023,40408.188,42686.219,51923.555,27:55.4,3,scot,Wet Heathland
2023,39061.215,40713.348,50814.039,27:56.6,3,scot,Wet Heathland
2023,38836.781,40217.559,43781.531,27:59.8,3,scot,Wet Heathland
2023,40009.094,41650.648,48126.684,28:50.2,3,scot,Wet Heathland
2023,40078.758,42920.875,56912.602,28:51.5,3,scot,Wet Heathland
2023,39149.688,40559.035,45975.906,28:53.4,3,scot,Wet Heathland
2023,38743.43,39645.684,42577.293,28:59.6,3,scot,Wet Heathland
2023,38556.195,39915.418,46060.652,29:22.4,3,scot,Wet Heathland
2023,40120.652,41839.129,50003.445,29:12.2,3,scot,Wet Heathland
2023,39712.582,42660.305,53825.805,29:14.7,3,scot,Wet Heathland
2023,51102.359,54222.219,61224.191,32:26.7,3,chocolate,Wet Heathland
2023,39803.953,42076.102,51513.113,32:48.1,3,scot,Wet Heathland
2023,39370.742,41312.531,49766.902,32:50.2,3,scot,Wet Heathland
2023,39160.922,40087.199,43755.723,29:44.8,3,scot,Wet Heathland
2023,39140.879,40802.926,48901.039,29:45.8,3,scot,Wet Heathland
2023,39218.578,40899.938,49313.152,33:17.0,3,scot,Wet Heathland
2023,39126.102,40154.598,42669.992,33:21.6,3,scot,Wet Heathland
2023,38905.414,40461.793,48315.484,3:33:41,3,scot,Wet Heathland
2023,40061.625,42008.996,46255.543,32:58.9,3,scot,Wet Heathland
2023,40047.934,44155.84,57600.824,33:02.6,3,scot,Wet Heathland
2023,39808.977,44957.523,63925.496,33:05.1,3,scot,Wet Heathland
2023,39486.953,41953.656,55748.469,33:11.6,3,scot,Wet Heathland
2023,39039.559,40316.227,46526.16,3:33:49,3,scot,Wet Heathland
2023,38966.695,40425.117,46296.004,3:35:45,3,scot,Wet Heathland
2023,40559.68,41942.203,47147.312,35:47.1,3,scot,Wet Heathland
2023,39858.387,42438,50994.191,35:52.4,3,scot,Wet Heathland
2023,30609.316,31927.859,34807.621,3:40:09,3,Goulds,Wet Heathland
2023,51256.34,53767.008,60683.285,39:30.1,3,chocolate,Wet Heathland
2023,39550,41307.723,48255.602,40:21.8,3,scot,Wet Heathland
2023,39365.535,41353.086,47492.91,36:52.7,3,scot,Wet Heathland
2023,39728.586,44116.383,54293.742,36:56.1,3,scot,Wet Heathland
2023,39101.348,41614.004,49900.695,36:57.1,3,scot,Wet Heathland
2023,39317.137,40775.91,48806.289,36:58.2,3,scot,Wet Heathland
2023,39370.82,41319.016,47662.422,37:00.2,3,scot,Wet Heathland
2023,38922.148,39920.883,43089.848,3:40:31,3,scot,Wet Heathland
2023,39506.891,41109.059,47697.961,40:32.7,3,scot,Wet Heathland
2023,51092.305,54815.719,64273.344,40:45.1,3,chocolate,Wet Heathland
2023,51040.73,54365.473,62633.953,41:51.5,3,chocolate,Wet Heathland
2023,50637.719,54484.516,64166.84,42:34.1,3,Chocolate,Wet Heathland
2023,39249.379,41827.02,50376.285,43:39.7,3,scot,Wet Heathland
2023,39870.613,41354.242,45324.633,43:43.2,3,scot,Wet Heathland
2023,51286.266,54556.793,62695.77,44:10.1,3,chocolate,Wet Heathland
2023,39413.668,41352.367,46142.637,3:43:28,3,scot,Wet Heathland
2023,39480.527,42148.43,53585.891,43:29.0,3,scot,Wet Heathland
2023,39037.117,40870.672,46937.129,43:33.0,3,scot,Wet Heathland
2023,51126.008,54480.586,63632.27,44:19.2,3,chocolate,Wet Heathland
2023,38556.695,39460.02,42971.633,3:47:58,3,scot,Wet Heathland
2023,38704.551,40040.598,45594.344,50:27.6,3,scot,Wet Heathland
2023,40576.145,43402.844,56316.109,54:07.1,3,scot,Wet Heathland
2023,39312.758,41059.43,47345.586,56:00.3,3,scot,Wet Heathland
2023,40025.672,41330.766,43386.352,46:02.7,3,scot,Wet Heathland
2023,40177.91,42134.324,52619.715,46:04.2,3,scot,Wet Heathland
2023,41325.875,46591.965,63540.145,46:07.9,3,scot,Wet Heathland
2023,38848.695,40550.094,47079.293,46:10.4,3,scot,Wet Heathland
2023,39167.223,40563.012,47923.227,3:57:09,3,scot,Wet Heathland
2023,39541.836,40793.969,44314.914,56:53.3,3,scot,Wet Heathland
2023,39874.539,41283.641,45898.949,56:54.5,3,scot,Wet Heathland
2023,38192.691,39302.312,41169.648,56:56.4,3,scot,Wet Heathland
2023,38743.43,40446.336,46931.914,56:57.4,3,scot,Wet Heathland
2023,50478.738,53249.359,60482.559,00:00.1,4,chocolate,Wet Heathland
2023,39902.992,41829.953,48293.664,56:58.5,3,scot,Wet Heathland
2023,51619.43,54202.238,60892.695,01:32.0,4,Noise,Wet Heathland
2023,39449.98,41529.945,48597.352,01:11.4,4,scot,Wet Heathland
