Long,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
E:\Josh Output,,ANM100_20240816_233525_000.wav,2024,1.222306,1.738015,26438.689,27006.061,27546.008,16/08/2024,35:26.2,23,16/08/2024,35:26.2,11,NOISE,0.129586,cluster.01,0.247799,cluster.03,0.50363,1,NOISE,-26.502079,153.080228,suburb,,qeU2nSuKfpRHcIkQGAri5g==
E:\Josh Output,long calls,ANM100_20240816_233525.wav,2024,1.222306,1.738015,26438.689,27006.061,27546.008,16/08/2024,35:26.2,23,16/08/2024,35:26.2,11,NOISE,0.129586,cluster.01,0.247799,cluster.03,0.50363,1,NOISE,-26.502079,153.080228,suburb,,mH/nR5zRB4dW34nvehifgA==
E:\Josh Output,,ANM100_20240816_233213_000.wav,2024,0.03282,3.528104,26236.654,26505.064,26848.562,16/08/2024,32:13.0,23,16/08/2024,32:13.0,11,NOISE,0.131203,cluster.01,0.328455,cluster.03,0.415436,1,NOISE,-26.502079,153.080228,suburb,,Sdy3RC0YDMwoxDCnbv2xRw==
E:\Josh Output,long calls,ANM100_20240816_233213.wav,2024,0.03282,3.528104,26236.654,26505.064,26848.562,16/08/2024,32:13.0,23,16/08/2024,32:13.0,11,NOISE,0.131203,cluster.01,0.328455,cluster.03,0.415436,1,NOISE,-26.502079,153.080228,suburb,,T3iefJeA47p7Z9XDofkCwA==
E:\Josh Output,,ANM100_20240816_233140_000.wav,2024,0.000719,6.330273,26497.287,26799.291,27146.502,16/08/2024,23:31:40,23,16/08/2024,11:31:40,11,NOISE,0.140608,cluster.01,0.299254,cluster.03,0.467519,1,NOISE,-26.502079,153.080228,suburb,,03Aiim+RUodiBvtOYq2YUA==
E:\Josh Output,long calls,ANM100_20240816_233140.wav,2024,0.000719,6.330273,26497.287,26799.291,27146.502,16/08/2024,23:31:40,23,16/08/2024,11:31:40,11,NOISE,0.140608,cluster.01,0.299254,cluster.03,0.467519,1,NOISE,-26.502079,153.080228,suburb,,WJRV5oqJVClEgfJUEhbxeA==
E:\Josh Output,,ANM100_20240816_232830_000.wav,2024,0.0066,0.640998,26376.334,26770.754,27235.135,16/08/2024,28:30.0,23,16/08/2024,28:30.0,11,NOISE,0.140797,cluster.01,0.182973,cluster.02,0.50134,1,NOISE,-26.502079,153.080228,suburb,,h1v6reXVa2CZW8l6szHavA==
E:\Josh Output,long calls,ANM100_20240816_232830.wav,2024,0.0066,0.640998,26376.334,26770.754,27235.135,16/08/2024,28:30.0,23,16/08/2024,28:30.0,11,NOISE,0.140797,cluster.01,0.182973,cluster.02,0.50134,1,NOISE,-26.502079,153.080228,suburb,,HgLyKMWKR56za1I6u5+MJw==
E:\Josh Output,,ANM100_20230803_230202_000.wav,2024,0.004835,2.168049,26203.174,26384.875,26717.244,3/08/2023,02:02.0,23,3/08/2023,02:02.0,11,NOISE,0.143953,cluster.03,0.296602,cluster.01,0.416732,1,NOISE,-26.502079,153.080228,suburb,,6O4n2BLIlJ6EZM0box2XTQ==
E:\Josh Output,,ANM100_20240816_233109_000.wav,2024,0.014058,1.498255,26040.369,26285.734,26905.459,16/08/2024,31:09.0,23,16/08/2024,31:09.0,11,NOISE,0.153341,cluster.01,0.273257,cluster.03,0.488664,1,NOISE,-26.502079,153.080228,suburb,,g5wOvHq94m4a94SU/o8G4g==
E:\Josh Output,long calls,ANM100_20240816_233109.wav,2024,0.014058,1.498255,26040.369,26285.734,26905.459,16/08/2024,31:09.0,23,16/08/2024,31:09.0,11,NOISE,0.153341,cluster.01,0.273257,cluster.03,0.488664,1,NOISE,-26.502079,153.080228,suburb,,HHzEx3Sk4q43vSozcmgZiA==
E:\Josh Output,,ANM100_20240816_234241_000.wav,2024,0.012748,2.877185,26767.926,26861.336,27271.582,16/08/2024,42:41.0,23,16/08/2024,42:41.0,11,NOISE,0.157754,cluster.01,0.177537,cluster.02,0.484486,1,NOISE,-26.502079,153.080228,suburb,,GwSbYSoDKhVq5mVxoq2EOw==
E:\Josh Output,long calls,ANM100_20240816_234241.wav,2024,0.012748,2.877185,26767.926,26861.336,27271.582,16/08/2024,42:41.0,23,16/08/2024,42:41.0,11,NOISE,0.157754,cluster.01,0.177537,cluster.02,0.484486,1,NOISE,-26.502079,153.080228,suburb,,umzjscukPm6nM3Fi11grSw==
E:\Josh Output,,ANM100_20240816_232655_000.wav,2024,0.000748,6.907434,26721.553,26992.404,27312.404,16/08/2024,23:26:55,23,16/08/2024,11:26:55,11,NOISE,0.16309,cluster.01,0.259859,cluster.03,0.518112,1,NOISE,-26.502079,153.080228,suburb,,V2FJ5zUPEq+Eef6pniNgJQ==
E:\Josh Output,long calls,ANM100_20240816_232655.wav,2024,0.000748,6.907434,26721.553,26992.404,27312.404,16/08/2024,23:26:55,23,16/08/2024,11:26:55,11,NOISE,0.16309,cluster.01,0.259859,cluster.03,0.518112,1,NOISE,-26.502079,153.080228,suburb,,9SlfMxcb0Ox7tVbiHHrnnQ==
E:\Josh Output,,ANM100_20240816_233622_000.wav,2024,0.020946,1.283148,26383.254,26582.816,27280.736,16/08/2024,36:22.0,23,16/08/2024,36:22.0,11,NOISE,0.163405,cluster.01,0.271975,cluster.03,0.497452,1,NOISE,-26.502079,153.080228,suburb,,BnfTFyasd7oPHrAeG/NAHg==
E:\Josh Output,long calls,ANM100_20240816_233622.wav,2024,0.020946,1.283148,26383.254,26582.816,27280.736,16/08/2024,36:22.0,23,16/08/2024,36:22.0,11,NOISE,0.163405,cluster.01,0.271975,cluster.03,0.497452,1,NOISE,-26.502079,153.080228,suburb,,WRc5HNjCLjJE/OMf3T82Sg==
E:\Josh Output,,ANM100_20240816_232806_000.wav,2024,0.000886,4.057459,25656.275,26070.484,26585.33,16/08/2024,23:28:06,23,16/08/2024,11:28:06,11,NOISE,0.182008,cluster.03,0.284088,cluster.01,0.441092,1,NOISE,-26.502079,153.080228,suburb,,HOEDkd1ugaYjJpRJC+Sngg==
