INDIR,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
E:\Katrin,,KATRIN_20240926_011850_000.wav,2024,0.337165,3.137414,55715.035,57756.707,63396.027,26/09/2024,18:50.3,1,25/09/2024,18:50.3,13,Miniaus,0.163449,cluster.01,1.40593,cluster.08,1.407063,1,Miniaus,-26.679499,181.107683,Suburb,,/I8NW5mGoQPTVF6LV51kbA==
E:\Katrin,,KATRIN_20240922_002157_000.wav,2024,0.161832,2.986834,55939.211,58626.023,68909.227,22/09/2024,21:57.2,0,21/09/2024,21:57.2,12,Miniaus,0.16581,cluster.01,1.405928,cluster.08,1.407063,1,Miniaus,-26.679499,182.107683,Suburb,,fs6OoelUc7HpcZSfUpTrhg==
E:\Katrin,,KATRIN_20240930_012756_000.wav,2024,0.000503,4.351896,55510.93,57863.746,63340.93,30/09/2024,1:27:56,1,29/09/2024,13:27:56,13,Miniaus,0.169813,cluster.01,1.405926,cluster.23,1.407039,1,Miniaus,-26.679499,183.107683,Suburb,,fcS8674j/zJTzplT5Vbf1Q==
E:\Katrin,,KATRIN_20240925_211455_000.wav,2024,1.182669,5.139109,55906.688,58409.312,68007.516,25/09/2024,14:56.2,21,25/09/2024,14:56.2,9,Miniaus,0.172696,cluster.01,1.405934,cluster.08,1.407063,1,Miniaus,-26.679499,184.107683,Suburb,,Og/qH0geVnvbxETh81AqNQ==
E:\Katrin,,KATRIN_20241005_003343_000.wav,2024,0.000569,5.063828,55481.176,57563.602,63570.871,5/10/2024,0:33:43,0,4/10/2024,12:33:43,12,Miniaus,0.173549,cluster.01,1.405924,cluster.23,1.406788,1,Miniaus,-26.679499,185.107683,Suburb,,2ZTAJhRB5ZpLrFJVvGRVHQ==
E:\Katrin,,KATRIN_20240920_185323_000.wav,2024,0.102288,3.532848,55960.793,58333.391,68621.141,20/09/2024,53:23.1,18,20/09/2024,53:23.1,6,Miniaus,0.173737,cluster.01,1.405935,cluster.08,1.407063,1,Miniaus,-26.679499,186.107683,Suburb,,SOXZr3a006YJ5rg12X6dPQ==
E:\Katrin,,KATRIN_20240924_021021_000.wav,2024,2.576617,3.747892,56398.121,58258.277,64346.273,24/09/2024,10:23.6,2,23/09/2024,10:23.6,14,Miniaus,0.173901,cluster.01,1.405926,cluster.08,1.407063,1,Miniaus,-26.679499,187.107683,Suburb,,apsxVb90DYxm9jIxR5AFug==
E:\Katrin,,KATRIN_20241004_235608_000.wav,2024,0.122158,4.327456,55519.332,57930.094,65760.156,4/10/2024,56:08.1,23,4/10/2024,56:08.1,11,Miniaus,0.174592,cluster.01,1.405931,cluster.08,1.407063,1,Miniaus,-26.679499,188.107683,Suburb,,+D+gsG4yIc2o0s1V2xwBbg==
E:\Katrin,,KATRIN_20240920_014945_000.wav,2024,0.731198,3.268707,55637.992,57662.555,62834.043,20/09/2024,49:45.7,1,19/09/2024,49:45.7,13,Miniaus,0.176396,cluster.01,1.405926,cluster.08,1.407063,1,Miniaus,-26.679499,189.107683,Suburb,,TwLbTYhi1G7FOyLz22O/mA==
E:\Katrin,,KATRIN_20240911_183549_000.wav,2024,0.466941,3.993956,55549.137,57885.727,65272.969,11/09/2024,35:49.5,18,11/09/2024,35:49.5,6,Miniaus,0.177943,cluster.01,1.405926,cluster.08,1.407063,1,Miniaus,-26.679499,190.107683,Suburb,,AZMckMq4Ynm3uDVs58hy0g==
E:\Katrin,,KATRIN_20240923_231536_000.wav,2024,0.000458,3.633485,55956.32,58615.02,67539.914,23/09/2024,23:15:36,23,23/09/2024,11:15:36,11,Miniaus,0.178873,cluster.01,1.405933,cluster.08,1.407063,1,Miniaus,-26.679499,191.107683,Suburb,,ANaa4DpM8YZxmssM5FZu0A==
E:\Katrin,,KATRIN_20240920_025822_000.wav,2024,2.545273,4.118129,54507.559,56691.32,63545.574,20/09/2024,58:24.5,2,19/09/2024,58:24.5,14,Miniaus,0.17949,cluster.18,1.382315,cluster.11,1.383497,1,Miniaus,-26.679499,192.107683,Suburb,,CQ3D0Nv7yEFuujvMS2sSRQ==
E:\Katrin,,KATRIN_20241004_002658_000.wav,2024,0.130862,1.736254,56595.855,58234.504,62079.43,4/10/2024,26:58.1,0,3/10/2024,26:58.1,12,Miniaus,0.181302,cluster.01,1.405931,cluster.08,1.407063,1,Miniaus,-26.679499,193.107683,Suburb,,sudh/Rq/V9vGP0+qGCryBA==
